moduleId/I, x0_cm/D, y0_cm/D, z0_cm/D, x1_cm/D, y1_cm/D, z1_cm/D, x2_cm/D, y2_cm/D, z2_cm/D, x3_cm/D, y3_cm/D, z3_cm/D, nstrips/I, nwires/I, nwiregroups/I, evenBit/I, frBit/I, ccwBit/I
39, 209.69534302, 302.12396240, 949.03881836, 261.42742920, 258.73565674, 949.15533447, 488.83551025, 483.87725830, 949.22131348, 392.09423828, 565.01525879, 949.00341797, 80, 1024, 64, 1, 0, 0
40, 154.02825928, 333.90692139, 924.18518066, 212.50827026, 300.16009521, 924.26538086, 397.36962891, 561.36761475, 924.55041504, 288.00946045, 624.47564697, 924.40039062, 80, 1024, 64, 0, 1, 0
41, 93.71977997, 355.60705566, 949.27520752, 157.16961670, 332.52288818, 949.19683838, 293.88720703, 621.85217285, 948.98205566, 175.23324585, 665.02062988, 949.12866211, 80, 1024, 64, 1, 0, 0
42, 155.28668213, 110.64291382, 1038.67492676, 184.75439453, 47.46674347, 1038.79138184, 330.91445923, 85.01042938, 1038.62927246, 278.12933350, 198.17712402, 1038.42065430, 80, 481, 96, 1, 0, 0
43, 108.09213257, 157.09872437, 1013.81646729, 157.38900757, 107.80979919, 1013.90295410, 281.89599609, 193.07603455, 1013.84735107, 193.59111023, 281.36669922, 1013.69244385, 80, 481, 96, 0, 1, 0
44, 47.81365204, 184.50895691, 1038.52807617, 110.99677277, 155.05667114, 1038.73632812, 198.82553101, 277.76947021, 1038.72753906, 85.64639282, 330.52700806, 1038.35473633, 80, 481, 96, 1, 0, 0
45, 332.71429443, 156.78854370, 1013.57977295, 355.80621338, 93.34148407, 1013.57977295, 665.33776855, 174.54115295, 1013.57977295, 622.15490723, 293.18997192, 1013.57977295, 80, 1024, 64, 0, 1, 0
46, 300.43649292, 212.17492676, 1038.37976074, 334.19506836, 153.70162964, 1038.37976074, 624.92395020, 287.41729736, 1038.37976074, 561.79394531, 396.76492310, 1038.37976074, 80, 1024, 64, 1, 0, 0
47, 259.03131104, 261.11486816, 1013.57977295, 302.43078613, 209.39205933, 1013.57977295, 565.52337646, 391.56082153, 1013.57977295, 484.36444092, 488.28479004, 1013.57977295, 80, 1024, 64, 0, 1, 0
48, 209.75682068, 302.12142944, 1038.37976074, 261.47854614, 258.72061157, 1038.37976074, 488.94088745, 483.80737305, 1038.37976074, 392.21902466, 564.96881104, 1038.37976074, 80, 1024, 64, 1, 0, 0
